index,premise,hypothesis,label
1316,얼마 전 제로페이 50만번째 가맹점이 탄생해 협약식을 가질 정도로 인기가 높다.,50만 번째 제로페이 가맹점은 꽃집입니다.,neutral
1317,정부가 한국도로공사의 토지임대료 인하 등을 담은 중소기업 규제애로 개선대책을 발표했다.,정부는 아직 중소기업 규제애로 개선대책을 발표하지 않고 있다.,contradiction
1318,친절한 마르코와 마르코네 집은 흠잡을 데 없다.,마르코는 친절하지 않아요.,contradiction
1319,동양 서정계를 부드럽고 아늑하게 읊은 그의 서정시는 전통시의 본보기로 평가받고 있다.,서정시에 대한 그의 높은 평가는 공증을 받았다.,contradiction
1320,필리스가 롤라 어머니의 간병인이었을 때 롤라의 어머니도 의심스러운 상황에서 사망했다.,롤라의 엄마는 여전히 그 질병과 싸우고 있습니다.,contradiction
1321,퍼셉트론(Perceptron)은 1957년 코넬 항공 연구소의 프랭크 로젠블랫이 설계한 인공 신경망의 일종이다.,퍼셉트론은 인공 신경망의 일종이다.,entailment
1322,인시는 모든 현장 노동자의 노동시간을 합친 것을 말한다.,모든 현장 노동자의 근무시간을 합친 것이 인정된다.,entailment
1323,"마침내, 그녀는 스웨덴의 귀족인 Baron Bror Blixen과 결혼하고 그녀의 커피 농장이 있는 케냐로 여행한다.",그녀의 커피 농장은 케냐에 있습니다.,entailment
1324,"해양풍력은 육지보다 풍부한 바닷바람을 확보할 수 있어 효율이 높고, 이산화탄소와 미세먼지를 배출하지 않아 친환경 에너지로 환경을 보호할 수 있다.",해양 풍력은 미세먼지를 많이 배출합니다.,contradiction
1325,블라디미르 푸틴 러시아 대통령이 크림자치공화국을 러시아 영토로 편입하는 합병조약에 서명했다.,러시아 대통령은 합병 조약에 서명한 적이 없다.,contradiction
1326,주인은 친절하고 방은 깨끗합니다.,방이 지저분하지 않아요.,entailment
1327,문 대통령은 이날 미군 유해를 직접 환영한 뒤 고 봉환씨 가족 6명과 함께 행사장에 입장했다.,문 대통령은 미군 유해를 마주하지 않았다.,contradiction
1328,아파트 바로 옆에 유명한 동네 식당이 있어요.,아파트 근처에는 유명한 식당이 없습니다.,contradiction
1329,로렌초 신부는 프랑스 대혁명에 참여했고 프랑스 군대의 점령자로서 스페인으로 돌아왔다.,로렌조 신부는 스페인으로 돌아갈 수 없다.,contradiction
1330,경찰이 오는 10월 23일 오전 10시 고 백남기 농민에 대한 부검 영장을 집행하기로 했다고 뉴시스가 23일 보도했다.,경찰이 백남기 농민에 대한 부검 영장을 집행하지 않기로 했다고 뉴시스가 23일 보도했다.,contradiction
1331,"생일파티를 위해 요리를 담당하는 프랑스 레스토랑의 견습생 카타세요는 미와와 마주치게 되고, 이내 베일에 싸인 매력을 지닌 료에게 빠진다.",카타세요는 미와와 사랑에 빠진다.,neutral
1332,73조5000억원 규모의 금융시장 안정화 프로그램이 12조6000억원의 집행실적을 기록했다.,금융시장 안정 프로그램은 73조5000억원으로 책정됐다.,entailment
1333,사우스포의 특성상 라키는 지난 경기에서 아폴로가 귀신같이 잽을 날리는 바람에 오른쪽 눈이 거의 보이지 않는다.,마지막 경기에선 남포의 눈이 거의 보이지 않을 것이다.,contradiction
1334,"송파구 을 선거구에는 더불어민주당 최명길 후보, 국민의당 래협 후보, 무소속 김영순 후보, 무소속 채현 후보가 출마하고 있다.",송파구 을 선거구에는 총 6명의 후보가 출마했다.,contradiction
1335,재정난에 빠진 마을을 살리기 위해 뮤지컬로 마을을 만들려는 미오와 시장의 딸이자 보수 사상가인 주코가 이견으로 갈등을 빚는다.,Mio와 Zuko의 의견은 항상 일치합니다.,contradiction
1336,어떻게든 조용히 다람쥐를 끄집어내려는 그는 서둘러 남자를 깨우고 다람쥐가 몸에 붙어 있으니 소리를 지르거나 움직이지 말라고 말한다.,그 남자는 그를 깨운다.,contradiction
1337,토비와 니나를 결합해서 진부한 로맨틱 코미디를 했으면 좋았을 텐데.,토비와 니나가 어우러진 진부한 로맨틱 코미디라고 해도 초라한 작품이다.,neutral
1338,아키라의 초강대국 테츠오가 등장한다.,초강대국 테츠오와 비슷한 초강대국의 등장.,neutral
1339,에어비앤비는 답장이 빨라서 소통이 쉽습니다.,영어를 잘해서 의사소통이 쉽습니다.,neutral
1340,"이번 공모전에는 안전신문 활성화를 위한 새로운 정책개발과 효과적인 홍보방안, 안전신문을 활용한 효과적인 사고예방 및 대응방안 등이 포함되어 있다.",이 대회는 안전신문과는 아무런 관련이 없습니다.,contradiction
1341,"알라딘은 바깥 세상에 사는 노란 머리의 소년 알리바바를 만났고, 처음에는 알리바바에게 문제를 일으켜 미움을 받았다.",알라딘은 알리바바를 만났다.,entailment
1342,정부가 더 이상 옥죄지 못하는 이유는 경제상황도 좋지 않기 때문이다.,경제가 좋지 않아 정부는 더 이상 단속을 할 수 없다.,entailment
1343,피터의 주스를 독살한 범인은 피터의 목숨을 노리는 흉악범이었다.,그 흉악범은 피터를 독살했다.,entailment
1344,"독일 베를린, 함부르크, 프랑스 마르세유, 덴마크 코펜하겐에서 피켓 시위를 포함한 평화 시위가 벌어졌다.",시위 현장에서는 피켓을 볼 수 없었다.,contradiction
1345,총을 소지하고 싶은 충동을 일으킨 영화.,총을 소지하고 싶은 욕구를 불러일으킨 영화.,entailment
1346,김영록 전라남도지사가 23일 완도수목원을 방문해 현황 보고를 받고 동백나무와 편백나무 숲을 시찰했다.,김영록 전라남도지사가 완도수목원에 위치한 숲을 시찰했다.,entailment
1347,이에 따라 행안부는 관계부처와 지자체가 비상근무 체계 강화와 폭우 대비에 모든 역량을 집중해 줄 것을 당부했다.,행정안전부는 관계 부처와 지자체가 비상근무 체계 강화와 폭우 대비에 모든 역량을 집중해 줄 것을 당부했다.,entailment
1348,조선중앙통신이 공개한 영상에는 자신이 쓴 사과문을 방해하고 사과문을 읽는 장면이 담겼다.,조선중앙통신이 공개한 영상에는 조작 의혹을 제기하는 전문가들이 많았다.,neutral
1349,이날 조사에서는 포기자가 구직에 직접적인 영향을 미친 것으로 나타났다.,그 날 조사에서는 아무것도 나오지 않았다.,contradiction
1350,30년 전에 본 영화의 줄거리가 머릿속에 생생합니다.,나는 30년 전에 영화를 봤어요.,entailment
1351,박찬욱의 뛰어난 연출력이 대본의 허술함을 커버했다.,박찬욱 감독은 연출력이 뛰어났다.,entailment
1352,특전사 훈련 도중 부사관이 숨진 사건에 대한 책임을 지고 당시 교관이던 부사관 4명이 형사 입건됐다.,이 부사관은 특수부대 훈련 도중 사망했다.,entailment
1353,올해 걸작 소리에 속은 것 같아.,올해 걸작의 사운드가 적절한 것 같다.,contradiction
1354,임상연구 데이터도 가치를 높이기 위한 데이터가 제공되고 있다.,데이터 가치를 높이기 위해 제공하는 것이 하나 이상입니다.,neutral
1355,이곳은 몽트뢰 시내에서 매우 가깝고 당신은 주차할 수 있습니다.,"주차는 안 되지만, 몽트뢰 시내에서 가까워요.",contradiction
1356,이와 관련해 합동참모본부가 한미연합사령부와 긴급회의를 열고 현 상황을 논의했지만 워치콘은 업그레이드하지 않겠다고 밝혔다.,이날 긴급회의 결과를 공개한 것은 합동참모본부다.,entailment
1357,어떤 내용인지 알 수 없는 전형적인 예술 영화입니다.,예술 영화의 내용은 형이상학적이다.,neutral
1358,하지만 비슷한 전개 영화들이 많아서 친숙하게 느껴집니다.,독특한 전개로 만들어진 영화이기 때문에 독특합니다.,contradiction
1359,"1960년 3월 15일 오후 3시 30분 경상남도 마산에서는 이승만 정권의 불법 선거에 항의하여 시민과 학생 1,000여 명이 거리로 나가 민주화 만세를 외쳤다.",시민들의 저항 덕분에 이승만 정권은 무너졌다.,neutral
1360,문화계 각지에서 활동하고 있는 아이린과 슬기는 이전에도 여러 차례 호흡을 맞춘 적이 있다.,슬기는 다른 사람과 작업해 본 적이 없어요.,contradiction
1361,이걸 봤을 때 극장에 나와 내 친구밖에 없었어.,재미없어서 극장에서 봤을 때는 나와 내 친구들만 있었어.,neutral
1362,식전 행사에서는 장흥군보건소 소그룹 스포츠팀 공연과 진달래 춤 축하 공연이 펼쳐졌다.,진달래 춤의 축하 공연은 매우 큰 환호를 받았다.,neutral
1363,인하대의 반대로 교육부의 처분이 중단되면서 비난 여론이 거세지고 있다.,인하대는 이의신청을 하지 않았다.,contradiction
1364,달링하버의 야경이 한눈에 들어오는 집이었다.,달링하버의 야경을 볼 수 없는 집이었어요.,contradiction
1365,페렌제에서 4일 동안 머물렀던 곳이에요.,나는 페렌제에 4 일 동안 머물렀어요.,entailment
1366,공포규정에 따르면 전국 지자체의 전체 소방인원은 6만1196명으로 정해졌다.,공포 규정에 따르면 소방공무원의 수가 6만명 미만이다.,contradiction
1367,아집은 가격에 비해 매우 좋은 집입니다.,가격 대비 시설이 매우 좋습니다.,entailment
1368,"선수 및 관람객에게 얼음물, 선풍기 등 냉방용품을 보급하고 재난도우미 2500명을 배치해 폭염으로부터 안전한 경쟁환경을 조성한다.",폭염에 대비해 선수와 관람객에게 얼음물과 선풍기 등 냉방용품이 배부된다.,entailment
1369,그러던 중 신현돈 1군사령관이 안보강연을 위해 의수지역을 떠나 동문들과 술을 마신 뒤 민간인과 충돌해 전역 신청을 했고 군은 이를 즉각 수리했다.,민간인과 충돌할 당시 신현돈은 만취 상태였다.,neutral
1370,다시 말해 심각한 수준의 중증 환자를 제외하고는 기존 치료나 휴식만으로도 충분히 치료가 가능하다는 뜻이다.,휴식 또한 치료 방법 중 하나입니다.,entailment
1371,어렸을 때 극장에서 울면서 봤던 기억이 난다.,한 번도 본 기억이 없어요.,contradiction
1372,어린 시절을 생각하게 하는 좋은 영화입니다.,아무 생각도 안 들게 만든 영화.,contradiction
1373,거동이 불편한 소아마비 환자와 뇌졸중 노인환자가 스마트장갑 등의 기기를 활용해 가정에서 보다 편리하고 효과적인 재활교육을 받을 수 있을 것으로 기대된다.,고령 뇌졸중 환자는 스마트글러브 등 기기를 사용해도 재활훈련을 받을 수 없다.,contradiction
1374,내 주변의 가게들은 외국인들에게 매우 친절했어요.,내 주변 가게들은 외국인들만 함부로 대했어요.,contradiction
1375,"즉석 조리 식품뿐만 아니라 베트남에서 아직 생소한 제품인 삼각김밥, 도시락 등 신선식품의 매출이 지속적으로 증가하고 있다.",베트남에서도 삼각김밥과 도시락을 살 수 있습니다.,entailment
1376,국면전환은 신규 확진 건수 등 다양한 위험지표와 전문가 의견을 종합적으로 고려해 결정한다.,무대 전환은 전문가들의 의견만으로도 결정된다.,contradiction
1377,그것은 멋진 위치와 완벽한 청결을 가지고 있습니다.,완벽하게 깨끗하진 않아요,contradiction
1378,이런 민간기업의 참여가 규제개혁에 선행돼야 한다.,공기업 참여에서도 규제개혁이 먼저 이뤄져야 한다.,neutral
1379,미니시리즈 드라마였으면 더할 나위 없이 좋았을 텐데.,미니시리즈 드라마였다면 정말 끔찍하게 망가졌을 것 같다.,contradiction
1380,각 펀드별 정부 금융지원 효과를 극대화하기 위해 중소벤처기업부와 보건복지부가 함께 그린뉴딜펀드를 추진한다.,"그린뉴딜펀드는 중소벤처기업부, 보건복지부가 협업한다.",contradiction
1381,에밀리언은 실제로 자신의 신분이 컴퓨터 기술자가 아니라 경찰이라고 말하는데 다니엘은 깜짝 놀란다.,Emilian은 컴퓨터 엔지니어입니다.,contradiction
1382,안 후보의 출마 선언 이후 총 10개 수사기관의 긴급 여론조사 결과가 발표되면서 밴드왜건 효과로 이어지면서 안 후보의 강세가 지속된 것으로 보인다.,"안철수가 출마 선언을 한 후, 안철수는 약해졌다.",contradiction
1383,드론에 사용하면 야간 구조 활동에 도움이 될 수 있다.,드론은 야간 구조 활동에 도움이 됩니다.,entailment
1384,옥상에서 구조를 기다리던 호텔 직원이 소방헬기로 무사히 구조되자 일부 시민들은 구조된 듯 기쁨에 찬 박수를 보냈다.,호텔 직원들은 하강 단계를 거쳐 구조되었다.,contradiction
1385,그곳은 매우 친절한 호스트였고 좋은 숙소였습니다.,주인도 친절하고 숙소도 좋았습니다.,entailment
1386,"이번 공모전에는 안전신문 활성화를 위한 새로운 정책개발과 효과적인 홍보방안, 안전신문을 활용한 효과적인 사고예방 및 대응방안 등이 포함되어 있다.",이 공모전은 UCC를 중심으로 진행됩니다.,neutral
1387,파나마 여자 축구 국가대표팀은 파나마를 대표하는 여자 축구 국가대표팀으로 파나마 축구 협회에서 관리한다.,파나마 여자 축구 국가대표팀은 파나마를 대표하는 여자 축구 대표팀이다.,entailment
1388,김 경위도 눈시울이 붉어진 채 레오를 바라봤다.,김 중위가 레오를 외면한 것이다.,contradiction
1389,마음이 급해진 협회는 임시 감독을 선임하고 하부리그 선수들을 대거 선발해 대표팀을 꾸렸다.,하부리그 선수 선발을 두고 논란이 일었다.,neutral
1390,에어비앤비 중 최고의 숙박 시설이었어요.,이곳은 에어비앤비의 첫 번째 숙소였습니다.,neutral
1391,언론은 두 장면이 모욕적이고 불쾌하다고 지적했다.,언론이 불쾌했다고 지적한 장면은 두 가지다.,entailment
1392,저예산 영화를 유료로 보는 실수가 없었으면 좋겠다.,절대 돈 내고 구경하는 실수를 하지 마세요.,entailment
1393,담당 수의사들이 끝까지 그를 보살폈다.,담당 수의사들은 결국 그의 간호를 포기했다.,contradiction
1394,그곳은 로마로 여행하기에 가장 좋은 아파트였습니다.,그것은 로마로 여행하기에 최악의 아파트였다.,contradiction
1395,스티브 잡스는 1976년 스티브 워즈니악과 함께 애플을 공동 창업해 잠시 애플을 벗어나 1996년 애플로 복귀해 애플 전성기를 열었다.,애플의 전성기는 스티브 잡스와 스티브 워즈니악이 함께 열었다.,neutral
1396,기쁨의 정점에 있는 그들의 삶을 보면서 우리는 또 다른 즐거움을 느낀다.,우리는 그들의 삶을 보지만 아무것도 느끼지 못합니다.,contradiction
1397,그것은 길고 개인적인 영화입니다. 한국에서는 바두와 서울 같은 요소들이 있었기에 더 사랑받았을 것이다.,저는 영화를 한 번 더 보고 싶습니다.,neutral
1398,"그렇기 때문에, 많은 사람들은 여전히 이것이 사실이라고 생각합니다.","그것 때문에, 수백 명의 사람들이 여전히 이것이 사실이라는 것을 알고 있습니다.",neutral
1399,한편 염산면 1차 건미물 판매점에서는 건미 비율이 두드러졌다.,염산면 건미 1호점은 건미 비율이 가장 높았다.,neutral
1400,"1층에는 부엌, 거실, 정원이 있습니다.",정원에 나무 한 그루가 있어요.,neutral
1401,지난 2007년 3월 23일 인천공항과 김포공항을 잇는 1단계 구간이 개통된 지 3년 만이다.,김포국제공항은 인천국제공항 다음으로 큰 공항이다.,neutral
1402,보는 내내 화면에서 눈을 뗄 수가 없었어.,나는 그것을 보는 내내 다른 곳을 바라보았다.,contradiction
1403,생각보다 정돈된 게스트하우스였어요.,나는 게스트하우스에 머물고 싶었다.,neutral
1404,"수산페스타, 전통시장 가을축제 등과 연계해 시너지를 극대화한다는 계획이다.","수산페스타, 전통시장 가을축제 등과 연계해 시너지가 극대화된다.",neutral
1405,서울 용산 미군기지 옆 옛 방위사업청 부지로 이전할 예정이던 경찰청 시설이 용산 정비구역으로 이전함에 따라 이 부지는 용산공원으로 편입된다.,경찰청 시설이 서울 용산 미군기지 옆 옛 방위사업청 터로 옮겨졌다.,contradiction
1406,광주시는 수영대회가 열리는 7월부터 불법광고휴일 정기정비단을 운영한다.,광주시가 불법광고물 휴일을 맞아 상시 정비반을 운영할 계획이다.,entailment
1407,같은 해 7월에는 레드벨벳이 얼루어의 커버 모델로 나서 레드벨벳의 매력을 전 팀과 함께 보여줬다.,레드벨벳이 얼루어의 표지 모델이 된 것은 같은 해 7월이다.,entailment
1408,흑백 세계가 더 낫습니다. 나는 그전에도 충분히 행복했어요. 감정이 필요 없을수록 세상은 더 혼란스러워진다.,나는 예전엔 행복했다.,entailment
1409,이 중 피서객이 가장 많은 경포해수욕장은 12개 검문소를 운영해 탐방객들의 열기를 확인하고 있다.,해열 검진을 위한 검문소는 무인 운영됩니다.,neutral
1410,먹방을 주로 선보이는 홍선영은 밥을 먹을 때마다 자신만의 음식 철학이 담긴 명언을 쏟아내고 있다.,홍선영은 자신만의 음식 철학이 있다.,entailment
1411,충북 음성군 충북혁신도시에 들어서는 힐링센터에는 총 사업비 1328억원이 투입된다.,충북혁신도시에도 반도체 산업단지가 조성될 예정이다.,neutral
1412,호스트도 친절하고 숙소도 너무 예뻐요.,호스트에게 친절할 뿐만 아니라 장점도 있습니다.,entailment
1413,레드벨벳에서 첫 유닛 탄생이 예정돼 있는 만큼 레드벨벳이 이전보다 더욱 다채로운 무대를 대중에게 보여줄지 관심이 높아지고 있다.,레드벨벳에서 유닛이 탄생할 가능성은 제로다.,contradiction
1414,그러나 최근 일본해 양 지구 과학 기술 연구소를 포함한 일본의 공동 연구원들이 아스가르드 고균 재배에 성공했다고 발표했다.,일본은 아스가르드 고균 재배에 성공한 유일한 나라입니다.,neutral
1415,돌아가신 아버지의 막대한 유산을 물려받은 세라는 예전 지위를 되찾고 늘 곁에 있던 베키와 함께 인도로 돌아간다.,새라의 아버지가 죽었어요,entailment
1416,김지사는 이날 전남 민간정원 4호로 지정된 죽암농장 정원을 둘러보고 후대에 물려주고 싶은 전남의 아름다운 숲을 구상했다.,이번 세기의 죽암농원 정원은 전라남도 민간정원 4호다.,entailment
1417,"이를 위해 코워킹 스페이스와 회의실, 입주공간 등을 조성하고 개발지원 장비를 갖춰 센터장 1명을 포함해 총 3명이 운영된다.",운영은 센터장 등 3명이 맡는다.,entailment
1418,정치적 중립을 잘 지킨 영화라고 생각한다.,이 영화는 정치적 중립을 잘 지켰다고 여겨진다.,entailment
1419,개그맨 김인석이 개그맨 정종철의 신체 비밀을 공개했다.,정종철은 김인석의 폭로를 전면 부인했다.,neutral
1420,탈출한 곰은 오후 5시 15분에 마지막으로 발견된 이후 잡히지 않고 있다.,지금까지 포획되지 않은 곰들이 있습니다.,entailment
1421,차 안에서 좋은 공기를 즐기지만 마스크를 쓰고 밖에서 눈을 즐겁게 하는 것이 나와 다른 사람을 보호하는 가장 중요한 방법이다.,나와 다른 사람들을 보호하는 가장 중요한 방법은 밖에서 마스크를 쓰는 것입니다.,entailment
1422,아버지 없이 계모와 함께 살고 있는 이림은 뮤지컬 배우를 꿈꾸는 현직 간호사다.,리림의 꿈은 뮤지컬 배우가 되는 것입니다.,entailment
1423,생벤투역에서 가까우니까 교외로 가면 좋을 것 같아.,역에서 가까워서 편해요.,entailment
1424,"지난 19일과 26일 관악구와 파주시 서점에서 열렸으며, 오는 7월 10일 금요일과 30일 각각 경기도 수원시와 성남시에서 열린다.",그것은 파주에 있는 서점에서 열렸습니다.,entailment
1425,기업과 정부의 노력만으로는 극복이 어렵다.,기업과 정부뿐 아니라 국민의 노력도 필요하다.,neutral
1426,큰 침대에서 자면 몸이 간지러웠어요.,나는 큰 침대에서 잔 적이 없다.,contradiction
1427,알파고는 난수 승수를 비교하여 가장 높은 승수를 선택하는 몬테 카틀로 트리 검색 기술을 기반으로 한다.,알파고는 몬테카틀로 트리 검색 기술을 배우지 않았다.,contradiction
1428,내 인생에서 기억될 영화 중 하나가 되어라.,그것은 제 인생에서 기억될 영화 중 하나입니다.,entailment
1429,한 여성을 통해 본 칠레의 비극적인 현대사와 일치하는 가족사의 감동적인 그림입니다.,한 여성을 통해 칠레의 비극적인 현대사를 바라본다.,entailment
1430,"서구 송도해수욕장 돌고래 구조물도 파도로 파손됐고, 사하구 감천항과 다대포항의 방파제 일부도 파손됐다.",서구 송도해수욕장의 돌고래 구조물은 파도 속에서도 온전했다.,contradiction
1431,원천기술을 개발하고 수소 생산부터 활용까지 사이클 전반에 걸쳐 수소도시를 조성한다.,수소도시는 개발이 잘 안 되어 있다.,neutral
1432,이에 따라 선도기업이 국내 녹색산업을 선도할 수 있는 기반을 조성하기 위해 마련됐다.,국내에는 이미 녹색산업을 선도할 선도기업의 기반이 탄탄하다.,contradiction
1433,"지난 8일 현재 의사 345명, 간호사 270명, 간호조무사 135명, 방사선과 의사 20명, 기타 90명 등 총 860명의 의료진이 파견돼 있다.",파견된 의료진은 의사와 간호사들로만 구성되어 있습니다.,contradiction
1434,양 부처는 정책협의회를 설치·운영해 새로운 협업과제를 지속적으로 발굴하는 한편 협약사업의 구체적 이행방법에 대해 논의하고 이행상황을 점검할 계획이다.,아직 양 부처 정책협의회가 꾸려지지 않았다.,entailment
1435,중앙역에 있는 짐 보관소를 이용하는 것도 매우 편리합니다.,중앙역 수하물 보관소를 이용해도 불편하지 않습니다.,entailment
1436,"패럴림픽 또는 패럴림픽은 신체적, 감각적 장애를 가진 선수들이 참가하는 국제적인 스포츠 대회이다.",패럴림픽에 대한 세계의 관심이 높아지고 있다.,neutral
1437,관광지를 돌아다니기에도 좋은 위치입니다.,당신은 관광지에 걸어갈 수 없습니다.,contradiction
1438,그때 내가 매일 보던 드라마.,매일매일 보던 드라마.,entailment
1439,영화로 만들기엔 너무 얄팍한 주제.,영화를 만들기엔 너무 겸손해요.,entailment
1440,모든 것이 마음에 드는 숙소였다.,만족스러운 기숙사였습니다.,entailment
1441,아키라의 초강대국 테츠오가 등장한다.,아키라에서 테츠오의 발가락에 미치지 못하는 초강대국의 등장.,contradiction
1442,출판사에서 일하는 리차드 셔먼은 여름 동안 아내와 아이들을 휴가 보내고 계속해서 도시에 남아 있다.,리차드 셔먼은 출판사에서 일한다.,entailment
1443,저렴한 가격에도 나쁘지 않은 것이 장점이다.,가격은 비싸지만 위치는 좋습니다.,contradiction
1444,재판 전 스스로 목숨을 끊은 로버트 라이는 소송 조건이 사라졌기 때문에 불기소 처분 중 하나인 기소권이 없다.,로버트 라이는 죄책감으로 자살했다.,neutral
1445,"양사 간 기업결합 심사, 주주총회 등 다양한 절차를 거쳐 오는 7월까지 합병이 마무리될 예정이다.",기업 결함 심사는 모든 절차 중 하나입니다.,entailment
1446,쏘우 영화의 매력이 잘 드러나지 않는다고 느낀다.,쏘우 영화의 속편이지만 쏘우 영화의 매력이 잘 드러나지 않는다는 것을 느낀다.,neutral
1447,개인의 특징 중 하나인 완벽주의는 긍정적 측면과 부정적 측면이 모두 있다.,완벽주의는 긍정적인 면만 가지고 있습니다.,contradiction
1448,"1936년, 폰 브라운의 로켓 공학 팀은 쿠머스도르프에서 액체 연료 로켓을 항공기에 장착하기 위한 연구를 수행했다.",본 브라운의 로켓 공학 팀의 연구는 성공적이었다.,neutral
1449,"대신, 바이두와 치후 360과 같은 사설 포털들은 그들만의 인터넷 백과사전을 운영하고 있다.",인터넷 백과사전을 운영하는 사설 포털이 있습니다.,entailment
1450,하 전 사장은 여당 대선후보 경선이 진행 중이던 2012년 8월 박근혜 당시 후보에게 법정 상한선인 1000만원을 기부했다.,박근혜 후보가 여당 대선 후보 경선에서 탈락했다,neutral
1451,특히 지난해 전효성 일베 사건 이후에도 여전히 보기가 불편하다.,지난해 일베 사태에도 전효성은 편하게 볼 수 있다.,contradiction
1452,자세한 백업 방법은 Polar Backup Application 페이지에서 확인할 수 있습니다.,자세한 백업 방법은 브로셔에서만 확인할 수 있습니다.,contradiction
1453,주택법에 공유주택의 정의를 정립하고 공유주택 공급 가이드라인을 민간에 적용하기로 했다.,기존 주택법에는 공유주택에 대한 정의가 없었다.,entailment
1454,북한 고위 간부의 아들인 영호는 여동생을 만나러 갔다가 뜻하지 않게 탈북자가 되어 남한에 살게 되었다.,영호는 동생을 만나러 갔다가 교통사고를 당해요.,contradiction
1455,"어렸을 때는 정말 재미있게 봤는데, 지금 보니 재미가 반반이야.",어렸을 때 정말 재미있게 봤던 영화.,neutral
1456,"신청사가 공공시설과 통합관리 솔루션을 제공하고, 각 미용사가 월세와 관리비만 부담해 개별적으로 운영한다.",각 미용사는 매달 관리비만 지불합니다.,contradiction
1457,한편 올해 1월부터 시행되고 있는 김용균법이 미비하다는 점도 중대재난법을 발의하는 계기가 됐다.,법령이 미비하다는 점이 중대재난법을 발의하는 계기가 됐다.,entailment
1458,그러나 유네스코의 권고는 하시마에 전체 내용을 명시하는 것이었다.,유네스코는 하시마에 대한 지시가 없었다.,contradiction
1459,또 이번 산불로 민간인 11명이 크게 다쳐 병원에서 치료를 받고 있다.,산불로 민간인 11명이 크게 다쳐 병원에서 치료를 받고 있다.,entailment
1460,"이게 더씽1인데, 이제 1980년에 개봉한 더씽2를 봐야겠다.",The Thing 1은 1980년 이전에 출시되었다.,entailment
1461,정부는 한국판 뉴딜정책에 전례 없는 투자를 약속한다.,정부는 한국판 뉴딜정책에 전례가 없는 투자를 금지하고 있다.,contradiction
1462,이시언이 기안84의 뺨을 때리는 장면이 그대로 방송됐으며 멤버들은 별다른 언급을 하지 않았다.,기안84가 이시언에게 뺨을 맞았다.,entailment
1463,뉴욕의 의사 빌 하포드와 박물관 큐레이터였던 그의 아내 엘리스 하포드가 그의 친구이자 백만장자인 빅터 지글러를 위한 크리스마스 파티에 참석한다.,엘리스 하포드는 전 뉴욕 의사였다.,contradiction
1464,"A씨는 차에서 내리려고 했지만 차 문이 열리지 않은 것으로 보였고, 사고 후 경찰은 수표책과 다이어리, 면허증 등을 소지한 A씨임을 확인했다.","차 문이 열렸지만, 그녀는 나오지 않았습니다.",contradiction
1465,관광지로 나들이하기 아주 좋은 위치입니다.,관광지로 나가기 좋습니다.,entailment
1466,새로운 100년 디자인의 방향은 잘 잡힌 것 같습니다.,그것은 잘 연출된 100년 디자인입니다.,entailment
1467,"반면에, 국제 저작권법은 인용할 권리를 비용 없이 보호하는데, 이것은 저작권에 대한 기본적이고 의무적인 보호이다.",국제 저작권법은 인용권을 보호하지 않는다.,contradiction
1468,정부가 단일 국책사업으로는 역대 최대 규모의 재정투자계획을 발표하면서 새로운 국가발전전략으로 한국판 뉴딜정책을 추진하고 있다.,단일 국가 프로젝트로 100조원 규모의 금융투자 계획을 발표한 것은 이번이 처음이다.,neutral
1469,달링하버를 거닐기에 좋은 위치를 가지고 있습니다.,달링하버도 가까이에 있어요.,entailment
1470,손태영이 빨간 가방으로 포인트를 줬다.,손태영이 파란색 가방으로 포인트를 줬다.,contradiction
1471,저는 10점에서 눈을 뗄 수가 없어요.,나는 그의 아름다운 외모에서 눈을 뗄 수가 없어.,neutral
1472,"다큐멘터리인데 연출한 것 같은데 진정성이 없어, 편집이 이상해. 그냥 종교적인 다큐멘터리야.",그것은 불교에 관한 종교 다큐멘터리입니다.,neutral
1473,비가 쏟아지는 등 날씨가 좋지 않았지만 행사 시작 약 1시간 전부터 사람들이 줄을 서기 시작해 아이폰4의 높은 열기를 입증했다.,비가 와도 사람들은 행사를 위해 줄을 섰습니다.,entailment
1474,2년 새 3배 가까이 성장하며 빠른 플랫폼 성장 분위기를 유지했다.,당분간 성장 분위기가 유지될 것이 확실시된다.,neutral
1475,재난지원금을 지급한 직원의 지급 착오로 2196명이 두 차례에 걸쳐 재난지원금을 지급받은 사례도 있었다.,재난지원금은 모든 사람에게 한 번만 지급되었다.,contradiction
1476,이 영화를 본 지 3개월이 지난 지금도 후유증이 크다.,영화를 보고 느낀 감정은 여전합니다.,neutral
1477,"어렸을 때는 정말 재미있게 봤는데, 지금 보니 재미가 반반이야.",어렸을 때 본 적 있어요.,entailment
1478,이나영은 독특하고 밝은 소재의 영화에서 연기하는 것을 좋아합니다.,그 영화의 소재는 독특했어요.,entailment
1479,일반 영화와는 다른 특별한 분위기와 독특함에 반했어요.,분위기는 여느 일반 영화와 다를 바 없다.,contradiction
1480,프라하 구시가지 근처에 있는 숙소입니다.,프라하 구시가지 근처에는 숙박시설이 없습니다.,contradiction
1481,숙희는 보영당 가족의 도움으로 불이 난 정신병원을 탈출한다.,숙희의 실수로 불이 났다.,neutral
1482,하지만 라벤쿠르 역에서 조금 걸어가야 합니다.,라벤쿠르 역에서 조금 걸어가셔야 합니다.,entailment
1483,두 명이 같이 가면 좋을 것 같아요.,두 명만 올 수 있어요.,neutral
